predicate,work,attribution_precision,edges
HAS_DEVATA,RV,CONTAINER_INHERITED,8329
HAS_DEVATA,RV,PER_PASSAGE,2229
HAS_RISHI,RV,CONTAINER_INHERITED,10093
HAS_RISHI,AV,CONTAINER_INHERITED,5084
HAS_RISHI,YV,PER_PASSAGE,2240
HAS_RISHI,RV,PER_PASSAGE,472
HAS_CHANDAS,RV,CONTAINER_INHERITED,6276
HAS_CHANDAS,RV,PER_PASSAGE,4247
HAS_CHANDAS,AV,CONTAINER_INHERITED,4123
HAS_CHANDAS,AV,PER_PASSAGE,1652
MENTIONS_DEVATA,RV,TEXTUAL_MENTION,10284
MENTIONS_DEVATA,AV,TEXTUAL_MENTION,3582
MENTIONS_DEVATA,YV,TEXTUAL_MENTION,1964
MENTIONS_DEVATA,SV,TEXTUAL_MENTION,1335
