type,n
MENTIONS_LEMMA,154261
HAS_TEXT_VERSION,59922
HAS_SEMANTIC_ASSERTION,35131
ASSERTION_PREDICATE,32938
MENTIONS_ENTITY,28122
ABOUT_CONCEPT,24861
USES_FORMULA,22686
CONTAINS,22537
HAS_TRANSLATION,18427
HAS_RISHI,17889
MENTIONS_DEVATA,17165
HAS_CHANDAS,16298
HAS_DEVATA,10558
SHARES_FORMULA_WITH,6148
HAS_DEVATA_ASCRIPTION,5385
HAS_PARALLEL_PADA,4079
HAS_RITUAL_STEP,3121
NEAR_PARALLEL_OF,3049
ASSERTION_AGENT,2660
QUALITY_VERDICT_ABOUT,2568
SHARES_ENTITY_VOCABULARY_WITH,2141
ASSERTION_ROLE,2052
HAS_FORMULA,2037
MEMBER_OF_FAMILY,2037
REUSES_TEXT_FROM,1995
ATTESTED_IN,1267
MENTIONS_EPITHET,1035
EXACT_PARALLEL_OF,1006
ASSERTION_TARGET,918
QA_ISSUE_ON,915
HAS_DEVATA_DERIVED,882
VARIANT_OF,788
PROTECTS_FROM,659
USED_FOR_RITE,529
MEASURES,472
PERFORMS_ACTION,441
REFERS_TO,387
ADDRESSES_CONCERN,326
CO_OCCURS_WITH,306
BELONGS_TO_FAMILY,305
HAS_AXIS,289
POSITION_ASSERTED_BY,226
POSITION_STATED_IN,226
IS_ASKED_TO,224
INVOKES,207
DESCRIBES,199
DEVATA_ASSOCIATED_WITH,160
TREATS,160
SCHOLARLY_CLAIM_ABOUT,113
REPORTED_IN,113
BROADER_THAN,97
REQUESTS,89
DESCRIBED_IN,71
PARALLEL_TO,69
ASCRIBES_TO_DEVATA,47
PRAISES,38
DESCRIBES_ACTION,35
PERFORMED_BY,32
COMPOSED_OF,32
USES_OBJECT,24
INVOKES_DEVATA,16
HAS_EPITHET,13
MEMBER_OF,13
USES_SUBSTANCE,11
INVOLVES_OFFERING,11
EPITHET_VARIANT_OF,10
PERFORMED_FOR,9
INVOLVES_RITUAL,9
HAS_THEME,8
CONTRASTS_WITH,8
SUPPORTED_BY,7
CONCERNS,7
SUPPORTED_BY_STATISTIC,6
REFERS_TO_NATURAL_PHENOMENON,5
USES_OFFERING,4
RECEIVES_OFFERING,4
HAS_STEP,3
INVOLVES_SUBSTANCE,3
CONTRADICTS,2
SPECIALIZED_FORM_OF,1
REFERS_TO_PLACE,1
