predicate,source,target,edges
EXACT_PARALLEL_OF,AV,RV,551
EXACT_PARALLEL_OF,RV,RV,256
EXACT_PARALLEL_OF,RV,SV,89
EXACT_PARALLEL_OF,SV,YV,70
EXACT_PARALLEL_OF,RV,YV,24
EXACT_PARALLEL_OF,AV,SV,9
EXACT_PARALLEL_OF,AV,YV,7
NEAR_PARALLEL_OF,RV,SV,1180
NEAR_PARALLEL_OF,AV,RV,752
NEAR_PARALLEL_OF,RV,YV,473
NEAR_PARALLEL_OF,AV,SV,326
NEAR_PARALLEL_OF,AV,YV,162
NEAR_PARALLEL_OF,SV,YV,156
VARIANT_OF,RV,SV,415
VARIANT_OF,RV,YV,165
VARIANT_OF,AV,SV,132
VARIANT_OF,AV,YV,41
VARIANT_OF,AV,RV,22
VARIANT_OF,SV,YV,13
REUSES_TEXT_FROM,SV,RV,1684
REUSES_TEXT_FROM,AV,RV,311
