method,edges
domain-mention-v1:sanskrit-token,27602
formula-occurrence-word-aligned-v1,20577
concept-alias-v1:english+sanskrit-token,13053
concept-alias-v1:sanskrit-token,11332
theonym-mention-v1:rv-lemma-annotation,10284
theonym-mention-v1:sanskrit-surface-token,6850
crossveda-parallels:near:minhash-char4+lcs:SANDHI_INSENSITIVE,3049
formula-family-expansion-by-containment-v1,2238
entity-co-mention-idf,2141
formula-occurrence-sandhi-substring-v1,2109
formula-family-core-v1,1828
crossveda-parallels:reuse:NEAR_PARALLEL_OF:,1180
crossveda-parallels:identity:SANDHI_INSENSITIVE,788
semantic-extraction/rigveda-semantic-ontology-v1,613
crossveda-parallels:identity:SCRIPT_FOLDED,600
domain-mention-v1:sanskrit-sandhi,514
concept-alias-v1:sanskrit-sandhi,476
crossveda-parallels:reuse:VARIANT_OF:SANDHI_INSENSITIVE,415
crossveda-direction:compilation-asymmetry-v1,311
devata-cooccurrence-lift-v1,306
patronymic-token-equality-v1,290
crossveda-parallels:identity:ACCENT_INSENSITIVE,150
concept-lexicon-related-devata,101
crossveda-parallels:reuse:EXACT_PARALLEL_OF:SCRIPT_FOLDED,89
theonym-mention-v1:sanskrit-surface-sandhi,31
concept-lexicon-broader,18
patronymic-fused-token-split-v1,14
devata-variant-registry-v1,11
formula-family-variant-by-similarity-v1,8
domain-mention-v1:sanskrit-phrase,6
explicit-descent-compound-v1,1
