verse_coverage_state,work,mantras
DEDICATED_TRANSLATION,RV,10322
DEDICATED_TRANSLATION,AV,5715
DEDICATED_TRANSLATION,YV,1950
UNCOVERED_REUSABLE_PARALLEL_AVAILABLE,SV,1488
UNCOVERED_NO_RENDERING_REACHES_IT,SV,183
REUSED_RENDERING,SV,173
CONTAINER_TRANSLATION,RV,158
RANGE_COVERED,AV,52
RANGE_COVERED,RV,36
RANGE_TRANSLATION_ANCHOR,AV,34
RANGE_TRANSLATION_ANCHOR,RV,30
UNCOVERED_NO_RENDERING_REACHES_IT,YV,25
REUSED_RENDERING,AV,21
UNCOVERED_NO_RENDERING_REACHES_IT,AV,11
UNCOVERED_NO_RENDERING_REACHES_IT,RV,6
UNCOVERED_REUSABLE_PARALLEL_AVAILABLE,AV,6
